citation_id,new_classification,changed,rationale
405463a38d7792c769d8a6059bba3c18ec7def44>d6bba296da84bfba555e5ce0737421e02373060c_0,comparison,no,"Results in accordance with some studies, differ for others"
7c13d5f07c17273f3788928fb73d349b5b4ca4a2>9330745141a45a83044185911a9869cc77b04003_0,background,yes,Cites other studies' finding as supporting context
748d62e6539e0b804f12e9192ae79202375008d3>1ba55fe9e4dfd254eeec830260ee384606f19b46_0,background,yes,General biological dependency cited as background fact
bebb742e4346443ff1e54baee1b9a4bebfda1489>73784cc9ef59ef7d6700e0c1c1c31462b5d18915_0,comparison,no,Notes inconsistency among several cited studies' results
6f68ccd37718366c40ae6aeedf0b935bf560b215>60ed4bdabf92b2fbd6162dbd8979888cccca55d7_11,usage,yes,Same stimulus images from cited study reused
009ecd1da9756a7f050f94d2ed6805aa60f04036>273b620c6f183fc04e9fb62d1d92b3424350f504_0,methodology,no,Describes selection/evaluation of source reviews' methodology
9c7d5b66e09bea888fbe3ddd565e9e47de8ac7b3>163d9c3c2b2ce7744cbd4b678245a5cdddd86dc0_4,comparison,no,Notes present and previous research found similar success
410b3b805ae9b36c8e6433136b7026ec90abc52e>63e258a0588bfbcd82cef228ad619c65c3c97eb7_2,background,yes,Cites finding from another species as general context
3abe7580a6f59fb831eb474e22db97a6eb06b682>458f4c638322b5e78986e367fb68566b8090c827_1,background,yes,Attributes prior proof to cited authors as background
162d6679433158005102fea88db80b2117940bdc>526ab4add507b2390400593681209e8a4ddd6b48_3,methodology,no,"Defines procedure conceptually, likely adapted for study"
21c44db71f8965dd970ffa23bcda403fdb306aba>7fa4f05dd489b6dd03065069f660c89328337e18_9,usage,yes,Algorithms from cited work directly used to compute basis
370ea6fa2996966b665e24dfa9d5ad8671e4261b>bbdd4b687760d61ba697b51598dc91c371d0e98f_0,usage,yes,"Stimulus figures from cited work reused, modified"
16681f339847f18291673754483dcd7deadf0cd2>35e30404998bc62d0576affc61b19f9a85ea09a9_2,methodology,no,References psychophysical relation used in analysis
ca3adf954e8828a1ba0e1223505c193bdfef6fda>5433b8b066f5303a553945567cadbd34c774e31f_0,background,yes,Introduces theoretical formalism options as context
57247582ff2a82454bf6808e26266bdafcbb380c>e7ff3015265437fb629b6b678ba23bd0df7fd0e9_0,comparison,no,Corroborates observations from prior OVA model study
30d854f25a65ab1b4d4fc2295793bc54d8c4e5b0>5ea6d8fe68c4fc50f7b12f0d866cb19f30957f1e_0,comparison,no,Results in line with other cancer survivor studies
7924f19df136dce49adf0802a2cb4f9699867447>84daefdac9e4466ef54854d65893dd462a827a8d_0,methodology,no,Design rationale (washout period) justified by cited work
7bd4d852a85a5499d01fb0073de471d0480d0964>06e639a3a5bec03e0218014c07d210a0007313af_0,comparison,no,"Findings compared to several reports, mixed agreement"
6dc81a69befe66d306f855eade48ed93a9fc2b28>f0c372551ab2c123b665bfe9b2998788859b51e9_3,usage,yes,Stress-wave velocity measured using specific tool
974d0b8c2a12d9bd97aba46d2edd08ddb0f93975>2d297625eb36bae88d16b4d70078faa2f15bec8f_1,usage,yes,Measurements performed following cited guidelines/equations
08b29538d2e03ec786e724eefaccb2745eb5cfeb>6bfab9fe422d9c2624e59f4c8e0f4fff9c14580e_5,usage,yes,Performance evaluated by examining SNR metric
bc103d96366ec97e0dd620894bbb04c8849eb772>919a7043506352a11d3bb6fa435081d03381c429_1,background,yes,"Lists example software as background, not necessarily used"
d281e8d1efe16d668fdfef4b7f2225d9fec2135e>9ea24226d1b1a8e15d6fc9160a2a8f00ebfad2f0_4,comparison,no,Similar results compared across mouse strains
1c4284bac898d92493f6bdfb81fffbe43bf1b7cb>None_0,comparison,no,Findings compared to other WTP studies
78f99a9a83c157c1422b88896bf945606fbacabc>73ccd6dc25a318819a7eac8b916dbe6cd056f578_0,comparison,no,Result in accordance with prior meat oxidation findings
017d9eb123b505b1eade8ecd2382ad93386dc52e>7fc727911151d4a08c40bc05f7fd592f2aa8db27_0,usage,yes,Fast explicit diffusion method directly used to solve equation
3211c9483ee359709264929efe9e39c447244eab>7bd68206f2189aeb32c6ca13545a5e29d1c3629b_0,comparison,no,Correlation consistent with previous clinical studies
adddd0ce9529962885ae683adb62dae8cda8326d>f5fcd9be7a115ca1b7ddfc487c8558b4692df7a6_9,usage,yes,Specific plasmid/strain reagents from cited work used
e3c177577ff95608a3a0b1bf158c1f99fa9ad35d>209f08f950db7b65218f92424c840f6760c4d5d0_4,comparison,no,Consistent with earlier brain slice studies
af9908dd37a787ea9ee93bcc25e2b46783ff5bac>917c702a89ed5c8528f92bef9c6ebc7ccc38d5f5_0,usage,yes,Biochemical assays/kits from cited methods used
b9da01a2f8eb36903220c4b6777addc80a74f007>315d84e2ff0f948068d6888f00ca716f5c44958c_4,comparison,yes,Design consistent with regions from other sequencing studies
6dad105d0603c319734a0e4562c419ebca9016e0>720e8bee4567f5251de104d62e1725204b558148_4,background,yes,Reports prior studies' recrudescence rates as context
6b68d0948e1cda3457cdcd94ccc9540f988f08ca>f865cad3b24ef621d27922e86f96837d6235ff8e_10,usage,yes,Specific imaging system used for western blots
727620e57b933d3af9d36be18f5ce82b3d7f1de5>685d8020e2f8a97766247563cb93e994016f3fd1_1,comparison,no,Calculation in accordance with cited estimates
09923eda904e6422149f61629659b7589e0e1830>2969b47b4dff0000f4c81c2987cebe4d9ec5665a_0,comparison,no,Results in accord with previous craniofacial growth study
18a6e6da11b124d005d42d931db6e7c70d4a224c>58e2816e8695a754beb28704d540f477de3c84b6_1,usage,yes,Mutagenesis protocol carried out as described previously
eb948160e1dc8574b80f85f5b19854ad5cb17422>581e4e1cc17a11ad8469b353ba73e0f2f3eb45fb_0,usage,yes,Public datasets from cited works used for evaluation
48efd0b4da7649dc865f6ea10a54e78004bb6b0a>5e9bdbeb12fb3d726cc5f6caaa0bb85e4319644e_2,comparison,no,Own results coincide with previously reported finding
11d3014aacdecd64e60b32285d4991e6b84ac00f>51d3458450b170a6db92f2476343274737ccc117_0,comparison,yes,Formula's performance compared to another clearance method
4fabc83c0c87c5c5fa2bacb9aa8f9308c15614aa>d73b8e247c9fa3502bd3e27d3228549b2ad54dfd_0,usage,yes,Data linkage system used to monitor participants
ada601f3fa2af1280cf4fb6e2c06fff76ec31285>6cca6511726a96cee7b97d48568c1777a3f4ab17_1,usage,yes,Specific analyzer and EPA method used for analysis
7a127168d23c4bf7ab4ad34afcf70dd90266e426>970c6cacc40e46aadec1dc0b4270b01f9d915359_3,comparison,no,Explicit comparison of results with cited strategy
cb9ad487daf41b9b17888877f105b3c3608374c8>87b87427fcc090232f1a0a3d3eca6205b5d2e1cf_0,comparison,no,Results reinforce/support cited literature data
d02e51400b4ec0128aea6f218bda955f5b652784>4dc8609c62199a74f12146bdcc4e87536aeb22d9_0,background,yes,Describes what cited work [11] examined/compared
d429ec26fa0c9d7bcb427bd485a6ae042add26cc>f312cafe1f602810d79b556f704cde22600a81fe_0,critique,yes,Notes limitation (no functional cargo) in cited study
48793a345eacc733e0e3dd51cb0cafd56baf101f>990f0494d4f46e43bdb76415e8524ce591902792_2,extension,yes,"Framework resolves prior ambiguity, builds on hypothesis"
ad708977e55cb200c5bfd95a3c6fe3257db83cfe>df06bc557cd805407a0fbdcfb4f2b0de89cd1eb9_0,usage,yes,Earlier known sequences used to determine ITS boundaries
3cf9c7cd259a356839f42ecf143af3a8f6ef8b54>74cbd6d0eeb051b036f806d8a86c3a85859f9d7d_0,comparison,no,No sex differences consistent with previous data
03570bbc50472f5e88fa08bdfc1a784feb2a380c>90f4a12c14c9873c5cfe7f7b531588da6cd1975d_0,comparison,no,Results in accordance with previously reported cases
3f5d8ad1dd96a4e837aec09d32efecd230e53ccb>None_0,comparison,no,Agrees with results from same species elsewhere
ededf3e69f78a9e878565cffd0193cd0aaf3a551>202c1ea2caebe3a0c326c368cced3f8abaa3e53d_0,comparison,no,Results consistent with other reports on mate choice
7924f19df136dce49adf0802a2cb4f9699867447>84daefdac9e4466ef54854d65893dd462a827a8d_3,methodology,no,Design rationale justified by cited washout studies
3d69be9a5bea092c8afde1e31595bab854cef38a>2537c29f4dc561d2210016de6a59909ce9b72558_0,usage,yes,Analysis employs cited institution's method instructions
1009d0f249e8359e66c8705c8e935edb6f4b808c>3b0c44b7324de5aaaabcbdeda394aa6307c2fa70_0,usage,yes,PSI-BLAST and NCBI database used to identify genes
556c32a87f17435651a3f3d126bd25450338629f>9d2ea884a8103ad756e9a743fab9cf2f95f054da_0,usage,yes,Benjamini-Hochberg method used to correct p-values
