citation_id,new_classification,changed,rationale
ca8f30847c352f8f3031e9d868c02572007edeaf>95dfdcbd896381256d8da84e81f8a9d9db8d7db4_0,usage,yes,Specific PCR primers from cited studies directly used
179b42b781c55f234c76b3bb9a0461af755dfe51>21c16c890d69aaa35bc2879a5a7a684ef5217260_0,usage,yes,LSI peer relationship domain used as outcome measure
1bbe13bf5e48cafd255edece25a35563a2c5d43f>None_0,comparison,no,Similar communication difficulties reported in another study
10849ab7fbf9aebe7375dc67a25c1d6342c5ad97>807695461c8ccd2e639e38d3dd6c57a45445778a_0,background,yes,Describes cited work's gait classification approach
cf7aa95754624f61f0f93b18570d3f4d7ef5a653>f20116e13a37c246a4f4e3d3ff18e4137ea69aaf_8,background,yes,Cites prior observations of colonization bottlenecks as rationale
207c1b7548cf6bc703e9e5ec3dec4a39e55f794d>e620f0628e7612d67aac9ff55c1cb27d1216935f_2,usage,yes,Sugar solution given per established hyperuricemia protocol
6e193cfc21b619d0044200e7ccc658ffa5d2ea69>5c71a835e13a834cbe8f1241159a7237b820dc92_4,background,yes,General description of likelihood-based segmentation methods
abedef7aac09e682a32e94302e0d56dccbc02520>4f0e6e7d48a2c4f0586b2d33cff7f3c3099a1cec_0,methodology,no,Design-based development framework adapted into own approach
2e50492cf47f3ce54b561841d51d97381b74ef1a>e6a1a780e97f31e70994e943c89782aed29c132e_0,comparison,no,Bacteria levels compared across caries removal techniques
4552697d8f6a250de747b259809c1b53bd6a86f4>2f587ec3f121d1121885a4a62d2a4a82422c14be_9,comparison,no,Finding agrees with recent gut microbiota investigations
6b0e0e046d93dab0eac85e6579a83b760828f44f>02976f23a016eff3ca5ab7a7bf5a4da1e6e7e570_0,comparison,no,Low correlations match those reported in other studies
e47fff6a49610de4fc45d21d1142903c25d22657>9a8fb854e2dacc94831577a971d5d32a31b0f5cd_3,usage,yes,MCK promoter cassette directly used from cited work
44cde996547f25cabbf79f77b9b4f7013b951b61>None_0,extension,yes,Model suggested expanded to include new mood/trauma factors
539869e9bacaccdd362703724c7b807d7a1f9cd4>6c6df10e79bb02be3fa2aaf4c4bcc13ae7a8881e_4,methodology,no,Own model trained on TDT2clean dataset
e3266909d21cdb575c213b644a6e9be45500459d>33f3c96fb4ec5bbfd120b044f2e6f96bb0a86016_0,background,yes,Cites rationale for choosing young rats
3f843dd8e9e6c80d9f7a729c95a7a0ea395265f9>None_0,comparison,no,Fish abundance finding agrees with other authors' results
fd1f243a88b2dfdc3c7dfa91dc33004e7896bd1c>3ae0012184f183f8292ae4d17a5f0ff9b61e50db_0,usage,yes,Fecal fat estimated via established Van de Kamer method
f124e1f00e263f5521205c96aa0d3e20adeba181>8c3983975c75a2dc4e2159b8e226f2e6c885d52d_0,comparison,no,Supports previously suggested protective genotype effect
d5b131e3bb256b3732477243b7ce5f16f323ca08>19e753996b16dc7043c3da6dceceec79d73ceb86_0,comparison,no,Unfolding energy similar to prior RNase A study
922f2fb5ebc5d7d8e08b087bdd4df2855bdd4b48>73f8d428fa37bc677d6e08e270336e066432c8c9_8,background,yes,Points to earlier report for detailed results
8e687d3d79d934ab26fa86c2eb56aaa38c7ce42f>d2ca615231a00dd77c6273285a8f43a9c91848d7_0,comparison,no,Result supported by earlier bile salt solubilization study
4b2323d2b59022e32a0e903947de147cd2645cbd>273f08270b5a9a331ffae94e3dde56b6fcee4d96_2,methodology,no,Ontology built from established design patterns
4bbc9c70677cc834e072477c695022cc36e2ddc6>92d46601194e18ce3e81ff2089e6230ea242a2f9_3,comparison,no,Consistent with prior NMDA antagonist neurodegeneration reports
ad4d3a2f04458fc8d839d5750fe69bc49dddf090>d62b61a6fbe75d33c0c5d991056d513acd4ef4d4_0,comparison,no,Consistent with former NSPE bacterial reduction research
8239e463d56d27ed56fd4db49e4412c0da58c8d1>923cf7f97c84edfcba5a0a9a2648afb75719eb35_2,comparison,no,Results discussed relative to other patterning gene work
7a353b140b4a3424e58b8b0c4909228f2c7988e3>fd3cc251c4586eb9cbbb8a8e929596bb793bef86_0,comparison,no,TJ compartmentalization concept supported by other studies
47851e108a5855cb0fd375c9bdd039f78cc16c25>02bf68795fa74f0984701fa84df877a27dae6a2f_8,methodology,no,VAR lag/identification approach follows Baker et al.
f551c5e3fe5306fb6d82a33190551c137bd11b81>236b18d51127e6e0bbdacc35b6987e0f625665f4_0,usage,yes,Modelflow technique directly used for hemodynamic calculations
dd978687626f0ebe33fb576ca1d8f6e157085683>54a3d2f25f3d7caab85a5dbb4431acfafa57f72e_0,background,yes,General report on ANG II/Rho mechanism involvement
7506a6aaa7154354ee7b145fd5b1de3d3c7fd873>a036ac52a271a45f0244a4f95ce4026c57e394b1_0,methodology,no,Serving-size conversion follows other meta-analyses
5185e2e08a91afbf4b777eaaab210cfdb3085621>143d2e02ab91ae6259576ac50b664b8647af8988_0,usage,yes,Metropolis-Hastings algorithm used for posterior estimation
3482f1c9c2180cd5edc1fa8bfbe2480ccaea92dd>0891bece3a201c5d0897e8b1d12264eb0b820dcd_4,comparison,no,Two cited studies' experimental results shown in accordance
03ce72a187020ea5e838d6210c37fbe64deaec8c>51ebbdc8514153a9594ce6fe40dbb1391541e6d8_0,comparison,no,Combines two cited studies' lipid level findings
56768f41934f7f01ac7b4c5f8441c5fa657a3dbb>ede93db2410a302998501e6633f8a05b692c86a4_7,comparison,no,Current results combined with prior SF-1 observations
747e43b2b09a76ce9507c82e0acf22f3ea537b1a>11f647b95a7c9a94c346cd8dc53987105cb0f7c1_0,methodology,no,Retrieval function similar to prior SNP tool designs
0ece3d5912d5b6aeca3f98c973f1ed9fb5e6beb9>1338881f601a35e0a46b1f083a5b686fff9d4b39_0,background,yes,Historical narrative of chaos theory developments
300df68391d29db116971e63c170f088e2628229>8c1918c30664a115d328167709bab92ac399a2dc_3,critique,yes,Procedure questioned for causing follicle/tissue loss
f507de298a2a0c46991ffc315770d7d51f78f5d6>d32b485f990211a1d6e42438cf28847779102111_0,comparison,no,Differing outcome measures versus other FDP/RDP studies
aa8c9f7dc4695e960b61341e4ed81015ecf63248>d63585ecf59daec5858990ef610a69963c4c0787_0,comparison,yes,Algorithms explicitly selected for benchmarking against own method
1c6b446bc13a454686b6c3872a78fa9c0760677b>815bd94807ff43a3f3a4f361e5b21e3f7a63556d_17,extension,yes,Several extensions of LMSER learning described
a9159d21b89e6d0caadaa6e36427c8713f592318>5839d9e6f0313f346528487034bb1bef355aecab_0,comparison,no,Madagascar results agree with Kenya ICU study
9b2019847bd9d6763efe9f97cbfe264125a91fb1>a28e4f1922aa562a9647b725c463697d6b981682_0,comparison,no,Consistent with prior amygdala response studies
f33ad0e60a8b8a65b34132d457b5789d4374f595>e818bff84c194acb4dfd32e80808b683462b8031_0,critique,yes,PCNM predictors criticized for inflating R2 via overfitting
6438d8db1ba327e0b7be10d2ad282376590fdc7c>7e4fc4b15f1783bf8c55a65e1ebb467486b77f2a_0,methodology,no,"Validity assessed via expert panel, consistency via alpha"
0640f6e098a9d241cd680473e8705357ae101e04>e33da0584b8db37816d510fd9ba7c1216858fd5f_0,extension,yes,Reinforces prior conclusions from a broader perspective
f56dc302b35059b41b4c61402fdae1201f5b11f0>b51ada959360f03bf10b0381fe78ad12904a3840_0,comparison,no,Consistent with Carrera et al. capacitation timing findings
4df6b6751421724d18bc70cb9d4f2ef6d15d6136>792536853bd0974bcc1082d60d332948f54292c5_0,comparison,yes,Expected relative performance comparison across ranking methods
3c1c22c5d176f4688728008f639a60bffc4cd116>46e6ba8eec8c375cb1509aad9db6ddbf7b29fd1c_4,methodology,no,BMD change measured relative to own surgical baseline
93570227d802f3f37f46a42a69016470b8d09789>41a02766e691213fd4840ca2d296a5e4815e6127_0,critique,yes,Existing approximation methods limited to low-precision use
d93822cc91336c7be9a2fe86d0561a9e16308909>ff8f05ffd74833b506e21842c50be84eb1f72574_2,comparison,no,Similar tissue-density relationships found in other species studies
ebbac045809f607467895460b0917a9512ec29d9>3c8927e884e79d9dbfff5b3393d57036ae4adb33_0,comparison,no,Consistent with prior cysteine protease inhibitor studies
ce5e40ddeb4fd7949aaeb507a66ac27887d12b95>be59cc09630da876d2dfada6165711f5bd19506f_1,usage,yes,Previously validated behavior-problem cut-off scores directly applied
21af00b027c4e7280507ae3ccbc87bdce7aeeb11>a47adcc6f6428a57bcbdc1d98b9a20cd7d75e0b2_1,comparison,yes,Explicitly benchmarked against six state-of-the-art FS methods
09f1dbacd425e89e0a8373717f1151079ddf240b>000a4f645f4ee037db3df4f3aa0effb85922df19_0,comparison,no,Consistent with published Ts65Dn exploration behavior data
2a29802ff7443f41d9e5185e7ba58baae8c00ce5>6fb4f9761fdfdeef856fde906fc85c9d5fd16118_0,comparison,no,"Diverges from one study, agrees with another"
3b3d5b9448ebe8e8c0db685af03ec80650c9624b>35a27ed89b3a560a89c263be360c64e2ac82af80_0,comparison,no,Similar PDL therapy outcomes reported by other studies
1e4e6e3a0d00d631058ad1c7a0403387fd9c3184>0faaa79219cbed84b54ac9e774cd10bd351dc0c6_5,comparison,no,Consistent with prior Shh-tumor Ptch1 expression studies
067fe8920f59e75701087f2e4c24e857cdcb12ef>e30fdcf5efdd5b8c2f1f41793e6dc22b31385144_0,usage,yes,WFU_PickAtlas toolbox directly used to define ROIs
1debc9431d68ab85d92081f4d4e2b10aba50462a>2b9def971b4d1c203f1c289b542755a578b73bb6_0,comparison,no,Agrees with another GAS-KO mouse microarray analysis
d99f063b49d5b72a3e3d2308eafe307be98e1e78>bb7a0e967262dd423a9e1749d7399250a5badba4_0,methodology,no,DMM medium protocol adapted with added components
b86292dbe90e4da5eaed58510b6bb80272eeebec>49fe8116a6bc5c8409efa1fa1d30f4897427b9af_0,background,yes,Describes existing TNM staging system definition
69d1782345443cac8aa2c34a90633869e7ddfa54>5938cb6c7a08ddcd85f5ee22f82006792361f5f3_4,background,yes,Describes two prior combination therapy studies
5c7d58c87e83b6440db98f5585bf7ebc9c61ecfb>cca815f0ab3d2b9893b39bea6db9a16372e7ed36_1,comparison,no,Interocclusal distance finding supported by Ekfeldt et al.
faa1c35ea83d0fa1b2efb57d6cc083637bf47fd2>882e80a13e932e5ca2056f646f44e5d93e1ad807_1,usage,yes,Sniffer tool from cited work directly used
53a769390571909a2fd7ba29efd2114202d9b8ca>140e387b9268681e1379ecf4c5a6e21c96da8e5d_8,comparison,yes,NICE's control flow compared against Narada system
fe677d2f86d623b3dfc92f060bd8d0d2a0ea413d>548992f59f682a83a671e7f288f7aa574580d4a5_9,comparison,no,AlkOH content comparable to prior organosolv pretreatment results
9951b08d002741cc1439384e686400bb69041269>0cd32846d9fadb875f4e18ddd75146abb5f76fe1_0,comparison,no,Results similar to rabbit/porcine cell line studies
9319c1fa419c5fbef7454f11042d3be050fe26ef>2304fa990f8d3402b29c4defe772e88ae5dcac70_0,comparison,no,Similar metformin results demonstrated in other cell lines
2b62ce0321ce1728f2030363cd228d00b3fddf6a>314a85edf4f8b10872e9c56e4500b5be8c734c58_0,methodology,no,DAE model linearization follows established stability analysis approach
2f7af7e53f4afa524a46fcd7b9cf51b6cf8845b2>None_0,comparison,no,Discrepancies analogous to those seen in other physical systems
b7e0e4d93c262eb9280b0b03ce6903670a942452>d24f2b1333e6a2c75eebeb6b09241abbea7845db_0,comparison,no,Results support prior octyl gallate signaling studies
2eaecb54066236703dc52f82be7f3cb0f2182c05>bc637a752ca5c63c272854f827355e16e543923a_4,usage,yes,Protein motif databases directly used for similarity search
