paper_id,citation_id,section,in_text_marker,cited_ref_number,cited_reference,classification,citation_context,citation_topic
algorithms-19-00612,algorithms-19-00612-C011,1. Introduction,[9],9,"Gu, N.; Gao, Y.; Hahnloser, R.H.R. Local Citation Recommendation with Hierarchical-Attention Text Encoder and SciBERT-based Reranking. arXiv 2022, arXiv:2112.01206.",comparison,"To achieve this, it requires a fine understanding of the immediate linguistic environment of the citing sentence, using methods similar to those in local citation recommendation systems [9].",linguistic context modeling in local citation recommendation
algorithms-19-00612,algorithms-19-00612-C012,1. Introduction,"[10,11]",10,"Devlin, J.; Chang, M.W.; Lee, K.; Toutanova, K. BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding. arXiv 2019, arXiv:1810.04805.",background,"Despite significant progress made possible by pretrained Language Models like BERT [10,11] and SciBERT [12], automatic systems still face challenges due to semantic ambiguity and context dependence.",pretrained language models (BERT/SciBERT) enabling progress
algorithms-19-00612,algorithms-19-00612-C013,1. Introduction,"[10,11]",11,"Rogers, A.; Kovaleva, O.; Rumshisky, A. A Primer in BERTology: What we know about how BERT works. arXiv 2020, arXiv:2002.12327.",background,"Despite significant progress made possible by pretrained Language Models like BERT [10,11] and SciBERT [12], automatic systems still face challenges due to semantic ambiguity and context dependence.",pretrained language models (BERT/SciBERT) enabling progress
algorithms-19-00612,algorithms-19-00612-C014,1. Introduction,[12],12,"Beltagy, I.; Lo, K.; Cohan, A. SciBERT: A Pretrained Language Model for Scientific Text. EMNLP-IJCNLP 2019, pp. 3615-3620.",background,"Despite significant progress made possible by pretrained Language Models like BERT [10,11] and SciBERT [12], automatic systems still face challenges due to semantic ambiguity and context dependence.",pretrained language models (BERT/SciBERT) enabling progress
algorithms-19-00612,algorithms-19-00612-C015,1. Introduction,[13],13,"Cohan, A.; Goharian, N. Contextualizing Citations for Scientific Summarization using Word Embeddings and Domain Knowledge. SIGIR 2017, pp. 1133-1136.",background,"As a result, contextualization becomes vital to maintain semantic and argumentative accuracy [13].",importance of contextualization for citation text fidelity
algorithms-19-00612,algorithms-19-00612-C016,1. Introduction,[14],14,"Huang, J.; Chang, K.C.C. Citation: A Key to Building Responsible and Accountable Large Language Models. arXiv 2024, arXiv:2307.02185.",background,"In this regard, it has been argued that citation serves as a foundation of scientific accountability and that the same standard should apply to AI-driven knowledge systems [14].",citation as a basis for accountability of AI knowledge systems
algorithms-19-00612,algorithms-19-00612-C017,1. Introduction,"[15,16]",15,"Li, W.; Li, J.; Ma, W.; Liu, Y. Citation-Enhanced Generation for LLM-based Chatbots. ACL 2024, pp. 1451-1466.",critique,"However, LLMs are still prone to semantic hallucinations and interpretive inconsistencies [15,16], problems that are similar to the challenges in citation classification.",LLM hallucination and interpretive inconsistency
algorithms-19-00612,algorithms-19-00612-C018,1. Introduction,"[15,16]",16,"Fontana, N.; Corso, F.; Zuccolotto, E.; Pierri, F. Evaluating open-source Large Language Models for automated fact-checking. arXiv 2025, arXiv:2503.05565.",critique,"However, LLMs are still prone to semantic hallucinations and interpretive inconsistencies [15,16], problems that are similar to the challenges in citation classification.",LLM hallucination and interpretive inconsistency
algorithms-19-00612,algorithms-19-00612-C019,1. Introduction,[17],17,"Kumpulainen, M.; Seppaenen, M. Combining Web of Science and Scopus datasets in citation-based literature study. Scientometrics 2022, 127, 5613-5631.",comparison,"Furthermore, relying on a single model or data source can introduce disciplinary bias, similar to distortions that occur when bibliometric analyses depend only on one citation database like Scopus or Web of Science [17].",single-database bibliometric bias (Scopus vs. Web of Science)
algorithms-19-00612,algorithms-19-00612-C020,1. Introduction,"[15,17]",15,"Li, W.; Li, J.; Ma, W.; Liu, Y. Citation-Enhanced Generation for LLM-based Chatbots. ACL 2024, pp. 1451-1466.",critique,"Indeed, single-source systems cannot guarantee semantic reliability or epistemic fairness [15,17].",limits of single-source/single-model systems
algorithms-19-00612,algorithms-19-00612-C021,1. Introduction,"[15,17]",17,"Kumpulainen, M.; Seppaenen, M. Combining Web of Science and Scopus datasets in citation-based literature study. Scientometrics 2022, 127, 5613-5631.",critique,"Indeed, single-source systems cannot guarantee semantic reliability or epistemic fairness [15,17].",limits of single-source/single-model systems
algorithms-19-00612,algorithms-19-00612-C022,1. Introduction,"[18,19,20]",18,"Fox, N.B.; Bruyns, B. An Evaluation of Borda Count Variations Using Ranked Choice Voting Data. arXiv 2025, arXiv:2501.00618.",methodology,"Accordingly, in this study, we present a new framework for citation intent classification that combines multiple open LLMs using a weighted Borda voting mechanism [18–20].",weighted Borda voting mechanism adopted for the framework
algorithms-19-00612,algorithms-19-00612-C023,1. Introduction,"[18,19,20]",19,"Wang, W.; Wang, Y.; Huang, H. Ranked Voting based Self-Consistency of Large Language Models. arXiv 2025, arXiv:2505.10772.",methodology,"Accordingly, in this study, we present a new framework for citation intent classification that combines multiple open LLMs using a weighted Borda voting mechanism [18–20].",weighted Borda voting mechanism adopted for the framework
algorithms-19-00612,algorithms-19-00612-C024,1. Introduction,"[18,19,20]",20,"Sana, S.; Brous, D.; Wells, M.T.; Duchin, M. Quantitative Relaxations of Arrow's Axioms. arXiv 2025, arXiv:2506.12961.",methodology,"Accordingly, in this study, we present a new framework for citation intent classification that combines multiple open LLMs using a weighted Borda voting mechanism [18–20].",weighted Borda voting mechanism adopted for the framework
algorithms-19-00612,algorithms-19-00612-C025,1. Introduction,"[7,8,18]",7,"Shui, Z.; Karypis, P.; Karls, D.S.; Wen, M.; Manchanda, S.; Tadmor, E.B.; Karypis, G. Fine-Tuning Language Models on Multiple Datasets for Citation Intention Classification. arXiv 2024, arXiv:2410.13332.",methodology,"Subsequently, an exponential weighting function boosts the top-ranked predictions, reflecting the consensus in Borda theory that nonlinear rank weighting improves decisiveness [7,8,18].",nonlinear rank weighting in Borda theory
algorithms-19-00612,algorithms-19-00612-C026,1. Introduction,"[7,8,18]",8,"Faerber, M.; Jatowt, A. Citation recommendation: Approaches and datasets. Int. J. Digit. Libr. 2020, 21, 375-405.",methodology,"Subsequently, an exponential weighting function boosts the top-ranked predictions, reflecting the consensus in Borda theory that nonlinear rank weighting improves decisiveness [7,8,18].",nonlinear rank weighting in Borda theory
algorithms-19-00612,algorithms-19-00612-C027,1. Introduction,"[7,8,18]",18,"Fox, N.B.; Bruyns, B. An Evaluation of Borda Count Variations Using Ranked Choice Voting Data. arXiv 2025, arXiv:2501.00618.",methodology,"Subsequently, an exponential weighting function boosts the top-ranked predictions, reflecting the consensus in Borda theory that nonlinear rank weighting improves decisiveness [7,8,18].",nonlinear rank weighting in Borda theory
algorithms-19-00612,algorithms-19-00612-C028,1. Introduction,"[15,17,21,22,23,24]",15,"Li, W.; Li, J.; Ma, W.; Liu, Y. Citation-Enhanced Generation for LLM-based Chatbots. ACL 2024, pp. 1451-1466.",background,"As a result, this ensemble approach balances diversity and stability by leveraging different reasoning from multiple models while reducing individual biases and hallucinations [15,17,21–24].",ensembles reducing model bias and hallucination
algorithms-19-00612,algorithms-19-00612-C029,1. Introduction,"[15,17,21,22,23,24]",17,"Kumpulainen, M.; Seppaenen, M. Combining Web of Science and Scopus datasets in citation-based literature study. Scientometrics 2022, 127, 5613-5631.",background,"As a result, this ensemble approach balances diversity and stability by leveraging different reasoning from multiple models while reducing individual biases and hallucinations [15,17,21–24].",ensembles reducing model bias and hallucination
algorithms-19-00612,algorithms-19-00612-C030,1. Introduction,"[15,17,21,22,23,24]",21,"Koloveas, P.; Chatzopoulos, S.; Vergoulis, T.; Tryfonopoulos, C. Can LLMs Predict Citation Intent? An Experimental Analysis of In-Context Learning and Fine-Tuning on Open LLMs. Linking Theory and Practice of Digital Libraries 2025, pp. 207-224.",background,"As a result, this ensemble approach balances diversity and stability by leveraging different reasoning from multiple models while reducing individual biases and hallucinations [15,17,21–24].",ensembles reducing model bias and hallucination
algorithms-19-00612,algorithms-19-00612-C031,1. Introduction,"[15,17,21,22,23,24]",22,"Bezerra, D.A.; Silva, F.N.; Amancio, D.R. Leveraging GANs for citation intent classification and its impact on citation network analysis. arXiv 2025, arXiv:2505.21162.",background,"As a result, this ensemble approach balances diversity and stability by leveraging different reasoning from multiple models while reducing individual biases and hallucinations [15,17,21–24].",ensembles reducing model bias and hallucination
algorithms-19-00612,algorithms-19-00612-C032,1. Introduction,"[15,17,21,22,23,24]",23,"Shen, J.; Zhou, T.; Chen, Y.; Qiu, D.; Liu, S.; Liu, K.; Zhao, J. Transparentize the Internal and External Knowledge Utilization in LLMs with Trustworthy Citation. ACL Findings 2025, pp. 17858-17877.",background,"As a result, this ensemble approach balances diversity and stability by leveraging different reasoning from multiple models while reducing individual biases and hallucinations [15,17,21–24].",ensembles reducing model bias and hallucination
algorithms-19-00612,algorithms-19-00612-C033,1. Introduction,"[15,17,21,22,23,24]",24,"Lahiri, A.; Sanyal, D.K.; Mukherjee, I. CitePrompt: Using Prompts to Identify Citation Intent in Scientific Papers. arXiv 2023, arXiv:2304.12730.",background,"As a result, this ensemble approach balances diversity and stability by leveraging different reasoning from multiple models while reducing individual biases and hallucinations [15,17,21–24].",ensembles reducing model bias and hallucination
algorithms-19-00612,algorithms-19-00612-C034,1. Introduction,"[14,25,26,27]",14,"Huang, J.; Chang, K.C.C. Citation: A Key to Building Responsible and Accountable Large Language Models. arXiv 2024, arXiv:2307.02185.",background,"Ultimately, this work contributes to creating responsible and interpretable scientometric AI, in line with current calls for fair, accountable, and ethically aware Language Models [14,25–27].","calls for fair, accountable, ethically aware LLMs"
algorithms-19-00612,algorithms-19-00612-C035,1. Introduction,"[14,25,26,27]",25,"Smeros, P.; Castillo, C.; Aberer, K. SciLens: Evaluating the Quality of Scientific News Articles Using Social Media and Scientific Literature Indicators. WWW 2019, pp. 1747-1758.",background,"Ultimately, this work contributes to creating responsible and interpretable scientometric AI, in line with current calls for fair, accountable, and ethically aware Language Models [14,25–27].","calls for fair, accountable, ethically aware LLMs"
algorithms-19-00612,algorithms-19-00612-C036,1. Introduction,"[14,25,26,27]",26,"Cousijn, H.; Kenall, A.; Ganley, E.; Harrison, M.; Kernohan, D.; Murphy, F.; Polischuk, P.; Martone, M.; Clark, T. A Data Citation Roadmap for Scientific Publishers. bioRxiv 2018, 5, 180259.",background,"Ultimately, this work contributes to creating responsible and interpretable scientometric AI, in line with current calls for fair, accountable, and ethically aware Language Models [14,25–27].","calls for fair, accountable, ethically aware LLMs"
algorithms-19-00612,algorithms-19-00612-C037,1. Introduction,"[14,25,26,27]",27,"Saier, T.; Krause, J.; Faerber, M. unarXive 2022: All arXiv Publications Pre-Processed for NLP, Including Structured Full-Text and Citation Network. arXiv 2023, arXiv:2303.14957.",background,"Ultimately, this work contributes to creating responsible and interpretable scientometric AI, in line with current calls for fair, accountable, and ethically aware Language Models [14,25–27].","calls for fair, accountable, ethically aware LLMs"
algorithms-19-00612,algorithms-19-00612-C038,2. From Citation Retrieval to Contextual Interpretation,[8],8,"Faerber, M.; Jatowt, A. Citation recommendation: Approaches and datasets. Int. J. Digit. Libr. 2020, 21, 375-405.",background,"Citation recommendation systems constitute a foundational component of computational citation analysis, as they aim to identify the most relevant references for a specific textual passage rather than for an entire document [8].",definition/scope of citation recommendation systems
algorithms-19-00612,algorithms-19-00612-C039,2. From Citation Retrieval to Contextual Interpretation,"[28,29]",28,"Jeong, C.; Jang, S.; Shin, H.; Park, E.; Choi, S. A Context-Aware Citation Recommendation Model with BERT and Graph Convolutional Networks. arXiv 2019, arXiv:1903.06464.",background,"In this sense, these systems view citation as a reasoning process that uses linguistic and structural cues to identify which prior work best supports a statement [28,29].",citation as a linguistic/structural reasoning process
algorithms-19-00612,algorithms-19-00612-C040,2. From Citation Retrieval to Contextual Interpretation,"[28,29]",29,"Jurgens, D.; Kumar, S.; Hoover, R.; McFarland, D.; Jurafsky, D. Measuring the Evolution of a Scientific Field through Citation Frames. Trans. Assoc. Comput. Linguist. 2018, 6, 391-406.",background,"In this sense, these systems view citation as a reasoning process that uses linguistic and structural cues to identify which prior work best supports a statement [28,29].",citation as a linguistic/structural reasoning process
algorithms-19-00612,algorithms-19-00612-C041,2. From Citation Retrieval to Contextual Interpretation,"[4,30]",4,"Cohan, A.; Ammar, W.; van Zuylen, M.; Cady, F. Structural Scaffolds for Citation Intent Classification in Scientific Publications. NAACL-HLT 2019, pp. 3586-3596.",background,"It categorizes each reference based on its rhetorical and cognitive function, whether to provide background, describe a methodological contribution, or support a comparative discussion [4,30].",rhetorical/cognitive citation function taxonomy
algorithms-19-00612,algorithms-19-00612-C042,2. From Citation Retrieval to Contextual Interpretation,"[4,30]",30,"Tsai, H.J.; Yen, A.Z.; Huang, H.H.; Chen, H.H. Citation Intent Classification and Its Supporting Evidence Extraction for Citation Graph Construction. CIKM 2023, pp. 2472-2481.",background,"It categorizes each reference based on its rhetorical and cognitive function, whether to provide background, describe a methodological contribution, or support a comparative discussion [4,30].",rhetorical/cognitive citation function taxonomy
algorithms-19-00612,algorithms-19-00612-C043,2. From Citation Retrieval to Contextual Interpretation,"[2,31]",2,"Barchane, M.; Zahour, O. Assessing the Quality of Scientific Publications: A Thorough Analysis of Citation-Based and Content-Oriented Metrics for Evaluating Research Impact and Scholarly Contribution. Math. Model. Comput. 2025, 12, 1109-1120.",background,"As highlighted in [2,31], analyzing citations in context is a vital step toward evaluating the interpretive aspects of scientific communication.",value of in-context citation analysis
algorithms-19-00612,algorithms-19-00612-C044,2. From Citation Retrieval to Contextual Interpretation,"[2,31]",31,"Hu, Z.; Cui, J.; Lin, A. Identifying potentially excellent publications using a citation-based machine learning approach. Inf. Process. Manag. 2023, 60, 103323.",background,"As highlighted in [2,31], analyzing citations in context is a vital step toward evaluating the interpretive aspects of scientific communication.",value of in-context citation analysis
algorithms-19-00612,algorithms-19-00612-C045,2. From Citation Retrieval to Contextual Interpretation,"[10,12,32,33]",10,"Devlin, J.; Chang, M.W.; Lee, K.; Toutanova, K. BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding. arXiv 2019, arXiv:1810.04805.",background,"Models like BERT and SciBERT can capture bidirectional semantic relationships in citation contexts, allowing for better classification of rhetorical intentions [10,12,32,33].",BERT/SciBERT for citation context classification
algorithms-19-00612,algorithms-19-00612-C046,2. From Citation Retrieval to Contextual Interpretation,"[10,12,32,33]",12,"Beltagy, I.; Lo, K.; Cohan, A. SciBERT: A Pretrained Language Model for Scientific Text. EMNLP-IJCNLP 2019, pp. 3615-3620.",background,"Models like BERT and SciBERT can capture bidirectional semantic relationships in citation contexts, allowing for better classification of rhetorical intentions [10,12,32,33].",BERT/SciBERT for citation context classification
algorithms-19-00612,algorithms-19-00612-C047,2. From Citation Retrieval to Contextual Interpretation,"[10,12,32,33]",32,"Medic, Z.; Snajder, J. Improved Local Citation Recommendation Based on Context Enhanced with Global Information. SDP Workshop 2020, pp. 97-103.",background,"Models like BERT and SciBERT can capture bidirectional semantic relationships in citation contexts, allowing for better classification of rhetorical intentions [10,12,32,33].",BERT/SciBERT for citation context classification
algorithms-19-00612,algorithms-19-00612-C048,2. From Citation Retrieval to Contextual Interpretation,"[10,12,32,33]",33,"Mifrah, S.; Benlahmar, E.H. Sentence-Level Sentiment Classification A Comparative Study Between Deep Learning Models. J. ICT Stand. 2022, 10, 339-352.",background,"Models like BERT and SciBERT can capture bidirectional semantic relationships in citation contexts, allowing for better classification of rhetorical intentions [10,12,32,33].",BERT/SciBERT for citation context classification
algorithms-19-00612,algorithms-19-00612-C049,2. From Citation Retrieval to Contextual Interpretation,[22],22,"Bezerra, D.A.; Silva, F.N.; Amancio, D.R. Leveraging GANs for citation intent classification and its impact on citation network analysis. arXiv 2025, arXiv:2505.21162.",comparison,"Moreover, semi-supervised architectures like cGAN-SciBERT show that using unlabeled data can greatly improve model generalization and reduce reliance on expensive manual annotation [22].",semi-supervised cGAN-SciBERT using unlabeled data
algorithms-19-00612,algorithms-19-00612-C050,2. From Citation Retrieval to Contextual Interpretation,"[22,34]",22,"Bezerra, D.A.; Silva, F.N.; Amancio, D.R. Leveraging GANs for citation intent classification and its impact on citation network analysis. arXiv 2025, arXiv:2505.21162.",critique,"While their generative abilities enhance reasoning across long text spans, their absence of clear citation mechanisms raises significant questions about transparency, reproducibility, and intellectual accountability [22,34].",lack of transparent citation mechanisms in generative LLMs
algorithms-19-00612,algorithms-19-00612-C051,2. From Citation Retrieval to Contextual Interpretation,"[22,34]",34,"Kalai, A.T.; Nachum, O.; Vempala, S.S.; Zhang, E. Why Language Models Hallucinate. arXiv 2025, arXiv:2509.04664.",critique,"While their generative abilities enhance reasoning across long text spans, their absence of clear citation mechanisms raises significant questions about transparency, reproducibility, and intellectual accountability [22,34].",lack of transparent citation mechanisms in generative LLMs
algorithms-19-00612,algorithms-19-00612-C052,2. From Citation Retrieval to Contextual Interpretation,[35],35,"Mifrah, S.; El Habib, B.L. Semantic Relationship Study between Citing and Cited Scientific Articles Using Topic Modeling. BDIoT 2020.",background,"Both areas aim to model the relationships between scientific texts: one finds relevant references, while the other explains their roles in discourse [35].",overlap between citation recommendation and intent classification
algorithms-19-00612,algorithms-19-00612-C053,3. Proposed Methodological Approach,[36],36,"Team, G.; Mesnard, T.; Hardin, C.; Dadashi, R.; Bhupatiraju, S.; Pathak, S.; Sifre, L.; Riviere, M.; Kale, M.S.; Love, J.; et al. Gemma: Open Models Based on Gemini Research and Technology. arXiv 2024, arXiv:2403.08295.",usage,"Architectural heterogeneity arises from differences in training corpora, filtering pipelines, tokenization schemes, and fine-tuning strategies developed by Google [36], Meta [37], and Mistral AI [38].",source/origin of the Gemma model used in the ensemble
algorithms-19-00612,algorithms-19-00612-C054,3. Proposed Methodological Approach,[37],37,"Grattafiori, A.; Dubey, A.; Jauhri, A.; Pandey, A.; Kadian, A.; Al-Dahle, A.; Letman, A.; Mathur, A.; Schelten, A.; Vaughan, A.; et al. The Llama 3 Herd of Models. arXiv 2024, arXiv:2407.21783.",usage,"Architectural heterogeneity arises from differences in training corpora, filtering pipelines, tokenization schemes, and fine-tuning strategies developed by Google [36], Meta [37], and Mistral AI [38].",source/origin of the LLaMA model used in the ensemble
algorithms-19-00612,algorithms-19-00612-C055,3. Proposed Methodological Approach,[38],38,"Jiang, A.Q.; Sablayrolles, A.; Mensch, A.; Bamford, C.; Chaplot, D.S.; Casas, D.; Bressand, F.; Lengyel, G.; Lample, G.; Saulnier, L.; et al. Mistral 7B. arXiv 2023, arXiv:2310.06825.",usage,"Architectural heterogeneity arises from differences in training corpora, filtering pipelines, tokenization schemes, and fine-tuning strategies developed by Google [36], Meta [37], and Mistral AI [38].",source/origin of the Mistral model used in the ensemble
algorithms-19-00612,algorithms-19-00612-C056,3. Proposed Methodological Approach,[39],39,"Guendoul, O.; Bahaj, A.; Tabii, Y.; Rachid, O.H.T. Preliminary Evaluation of Vision-Language Models for Fall Detection. Springer Nature 2025, pp. 220-234.",background,"Such independence strengthens complementary semantic coverage and improves robustness across instruction-following tasks, including multimodal settings such as vision-language applications [39].",robustness of independent LLMs in multimodal/vision-language tasks
algorithms-19-00612,algorithms-19-00612-C057,3. Proposed Methodological Approach,[30],30,"Tsai, H.J.; Yen, A.Z.; Huang, H.H.; Chen, H.H. Citation Intent Classification and Its Supporting Evidence Extraction for Citation Graph Construction. CIKM 2023, pp. 2472-2481.",usage,"Each model assigns one label among five citation intent categories: background, methodology, comparison, extension, and critique, aligned with established citation analysis taxonomies in scientific discourse [30].",five-category citation-intent taxonomy adopted in this study
algorithms-19-00612,algorithms-19-00612-C058,3. Proposed Methodological Approach,[18],18,"Fox, N.B.; Bruyns, B. An Evaluation of Borda Count Variations Using Ranked Choice Voting Data. arXiv 2025, arXiv:2501.00618.",methodology,"The aggregation layer merges these rankings through an exponential Borda scheme derived from nonlinear weighting principles [18], which concentrates influence on top-ranked predictions and reinforces inter-model agreement.",nonlinear weighting principles underlying the exponential Borda scheme
algorithms-19-00612,algorithms-19-00612-C059,3. Proposed Methodological Approach,[30],30,"Tsai, H.J.; Yen, A.Z.; Huang, H.H.; Chen, H.H. Citation Intent Classification and Its Supporting Evidence Extraction for Citation Graph Construction. CIKM 2023, pp. 2472-2481.",comparison,This design maintains explicit score attribution and supports interpretability through alignment with explainable AI methods such as SHAP and LIME [30].,"alignment with explainable-AI methods (SHAP, LIME)"
algorithms-19-00612,algorithms-19-00612-C060,3. Proposed Methodological Approach,[40],40,"Kilgour, D.M.; Gregoire, J.C.; Foley, A.M. Condorcet efficiency: Weighted Bucklin vs. weighted scoring and Borda. Math. Soc. Sci. 2025, 135, 102420.",usage,"It also preserves the classical two-stage Borda structure formalized by Garcia-Lapresta, Martinez-Panero, and Meneses [40], while extending the interpretability-oriented fusion framework introduced in [2], which integrates quantitative signals with contextual evidence in scientometric analysis.",classical two-stage Borda structure directly reused
algorithms-19-00612,algorithms-19-00612-C061,3. Proposed Methodological Approach,[2],2,"Barchane, M.; Zahour, O. Assessing the Quality of Scientific Publications: A Thorough Analysis of Citation-Based and Content-Oriented Metrics for Evaluating Research Impact and Scholarly Contribution. Math. Model. Comput. 2025, 12, 1109-1120.",extension,"It also preserves the classical two-stage Borda structure formalized by Garcia-Lapresta, Martinez-Panero, and Meneses [40], while extending the interpretability-oriented fusion framework introduced in [2], which integrates quantitative signals with contextual evidence in scientometric analysis.","authors' prior interpretability-oriented fusion framework, extended here"
algorithms-19-00612,algorithms-19-00612-C062,3. Model Selection Criteria and Reproducible Deployment,[41],41,"Chen, L.; Zaharia, M.; Zou, J. How is ChatGPT's behavior changing over time? arXiv 2023, arXiv:2307.09009.",comparison,"Their independent development reduces shared biases and improves methodological stability compared to proprietary systems, where undocumented updates and behavioral drift can compromise experimental consistency [41].",behavioral drift/instability of proprietary LLMs (ChatGPT)
algorithms-19-00612,algorithms-19-00612-C063,3. Model Selection Criteria and Reproducible Deployment,[42],42,"Lu, B.; Sun, Y.; Fan, L.; Ma, X.; Duan, H. Evolutionary characteristics of global offshore carbon emissions network and responsibility allocation of emissions reduction. Patterns 2023, 4, 100801.",background,It also strengthens reproducibility by ensuring consistent model behavior over time and across computational environments [42].,reproducibility of model behavior across environments
algorithms-19-00612,algorithms-19-00612-C064,3. Model Selection Criteria and Reproducible Deployment,[43],43,"Nadeau, D.; Kroutikov, M.; McNeil, K.; Baribeau, S. Benchmarking Llama2, Mistral, Gemma and GPT for Factuality, Toxicity, Bias and Propensity for Hallucinations. arXiv 2024, arXiv:2404.09785.",comparison,"Nadeau et al. [43] tested Llama2, Mistral, and Gemma on factuality, toxicity, bias, and hallucination. Their results show distinct capability profiles for these architectures.","benchmark of Llama2/Mistral/Gemma on factuality, toxicity, bias, hallucination"
algorithms-19-00612,algorithms-19-00612-C065,3. Model Selection Criteria and Reproducible Deployment,[44],44,"Aydin, O.; Karaarslan, E.; Erenay, F.S.; Bacanin, N. Generative AI in Academic Writing: A Comparison of DeepSeek, Qwen, ChatGPT, Gemini, Llama, Mistral, and Gemma. Turk. J. Eng. 2025, 10, 592-607.",comparison,"In terms of classification performance, Gemma-3-12B-it has been found to outperform Llama-3.1-8B-Instruct in in-context learning settings [44].",Gemma outperforming LLaMA in in-context learning
algorithms-19-00612,algorithms-19-00612-C066,3. Model Selection Criteria and Reproducible Deployment,[38],38,"Jiang, A.Q.; Sablayrolles, A.; Mensch, A.; Bamford, C.; Chaplot, D.S.; Casas, D.; Bressand, F.; Lengyel, G.; Lample, G.; Saulnier, L.; et al. Mistral 7B. arXiv 2023, arXiv:2310.06825.",comparison,"Additionally, Mistral 7B performs better than LLaMA 2 13B across all evaluated benchmarks [38].",Mistral 7B outperforming LLaMA 2 13B on benchmarks
