citation_id,new_classification,changed,rationale
3cd81a85fd7cbfd006384dfbff1c5d317fd32adb>18367eed9e76446a1e4e3563d4826fdac584bc68_3,comparison,no,Neutral/supportive comparison; matches default label
ed60fe5cf0b2947f812a3d19d533d0f644b67b0d>5af4e6e8d6e7a25cb37a9d52e87a1f28b4464e04_5,comparison,no,Neutral/supportive comparison; matches default label
c03e1c117dac851f5837dbd9b00f3a4574f012bb>6bbd97e599b1839794a70d6e2b714adb3605a521_0,comparison,no,Neutral/supportive comparison; matches default label
9889e6509ccfd7cb166b258c2487485fd0c4b145>fb70d25d466c3da340689424d944e8d278a3469f_4,comparison,no,Neutral/supportive comparison; matches default label
a4ece31f5f6527e4c5c136067eed770d18c711c6>1ecbf61c0f6564ccb24bd0fabf687d1d74096cc6_0,comparison,no,Neutral/supportive comparison; matches default label
26b5f7c4b6ad858f05a7a0cf16605c6281fb9a7f>None_0,comparison,no,Neutral/supportive comparison; matches default label
2dab419465042ffc5da8f032470bd76372dd4c56>3a681477ad66a92fdd771f1849e7a5eec702908c_0,critique,yes,Literature described as yielding 'conflicting results' on statins
10dd055d4276a7c2f17192717a22d824783c48cb>0d10e553c0a46e7384b3c34dc45bb063843a8300_13,comparison,no,Neutral/supportive comparison; matches default label
ff1789cd0f730588c934c47db11b4f90669889e5>d77436efc9670f632cfbc4b43876e758eff7c38e_0,comparison,no,Neutral/supportive comparison; matches default label
062d5f16e265a65bf3495d24cf18917a5cdd24d0>ea720a8c2d03a58c4d4ac126abfc7f368c63cfd1_1,critique,yes,"Other studies found the 'opposite trend', a direct contradiction"
04bd0ceac333305cb6bf4a706f85e84e9e0db2bd>c71c93d89ffeeccf16be0ccb72b39348719ec306_0,comparison,no,Neutral/supportive comparison; matches default label
773d60e3daccb49ce9e5968631e16fc471730326>6a8166d1e3d6112a635a207be35653820f3472e5_0,comparison,no,Neutral/supportive comparison; matches default label
39bceca176c07cebafb837cf2f28515d6451d158>40b3cf3d38fb21840c47885847408de9bd8e516a_0,comparison,no,Neutral/supportive comparison; matches default label
748a697fff390fcb45affc9f7dd228a4cc55f84d>6dea26abba3b90bf8d300cf8ebee2186448d4dfe_0,comparison,no,Neutral/supportive comparison; matches default label
be9a51c999f8cb2514e16ee00b7fc5d47f53fea7>45ff42e8ed2d8e7bb29919d87bf647b20cfea6fc_3,comparison,no,Neutral/supportive comparison; matches default label
d45f3a44934b6765cb05f1b5f55d27b0c77c3e3f>6fde63a364a9957ba8f5d4a64ff5bbcdfe3cafbf_0,comparison,no,Neutral/supportive comparison; matches default label
eba2aaec5b0403affdd0f6245603f67a459c52a6>c8baea2c854d687622900e322e05935bd4114880_0,comparison,no,Neutral/supportive comparison; matches default label
7e404f15bcde672f8e07b5e6c0c480eee0198711>None_0,comparison,no,Neutral/supportive comparison; matches default label
0a3e665974a0630c0a3580d9d737ca432701dd59>c430c2604392205046733b47b217d5ea01b96330_0,comparison,no,Neutral/supportive comparison; matches default label
2c000dab571a498696699edc81e9ceffef255526>13ff21e59653ae5565812783407ea0561a28f9b8_2,critique,yes,Result was 'unexpected given' earlier Phase II study findings
5f9e27fd212e0eac30dd8b2e9a53d422f5ca0bd4>9e4ab179a114ed860aebd5ee4699406aa7088069_4,methodology,yes,Own data-correction approach adapted from prior studies' method
9e4f6ea7d0f67df071058a986a86d89b8fe56e4c>e9e574512234ac31aaaf7f4d0cb4d1b8de15771e_0,comparison,no,Neutral/supportive comparison; matches default label
9f17b5e3dd2e49e9725f6c34b6e2cb466ebb6144>9aeb612064573970561d211747fe5e8712796c3b_2,comparison,no,Neutral/supportive comparison; matches default label
4df14e7d769038b94935c7b04a58ee61be2ce53b>35effa557a1a470324fec9251ee15373dd9c2ab8_0,comparison,no,Neutral/supportive comparison; matches default label
cb12d128d0b9830cc123fdee1320fa5de1162fa3>c50bb3c6ca80d05b6117f0a3a23da9c3bfb8c60b_1,comparison,no,Neutral/supportive comparison; matches default label
1c35754e745402d9c659a15ee856528931bfb111>0369b5e89be7ebb5643b67901b848c3b95ced003_3,critique,yes,Prior studies flagged as scarce and geographically/pollutant limited
6a97855c529f5bbcc57883ba6ae7686fa383d54e>14d7c8b93d9dd2c25c50eee83423d1f8d9e037c3_1,comparison,no,Neutral/supportive comparison; matches default label
9c1a76c77204b4239e9ca045c3e15c66cee74de4>b1f175c7d5a43daed7fbd0cf6cd5757055527d21_0,comparison,no,Neutral/supportive comparison; matches default label
5af231e4a150f0ea0da5bb375f57a3bd3c6e4b64>16b40e5515aa37ef784a8e3e721b8cd8d60d97bc_0,comparison,no,Neutral/supportive comparison; matches default label
29fd62b419533563a0944402846d81810d80746a>357e225ee2f568b6e03d8c63853c1a4c8d7dfa18_0,comparison,no,Neutral/supportive comparison; matches default label
ded12b7775561f89e81a99b06b8f20d8b49678a7>941caa0a1f8ec89907ef84fd0e6e918dedf40219_0,comparison,no,Neutral/supportive comparison; matches default label
6a76bdc0a8923c44232e8d62fc98a2aad6d65056>79ff4ab467ce290f97e6f264e40d9753c3f28178_0,critique,yes,"Cited approach 'comes with its own challenges', a limitation"
985547fb66e49eea92f47739bbc1610a1d9aff07>ec48704a5b2729191ddcab53435b1f862cdbbf10_0,comparison,no,Neutral/supportive comparison; matches default label
0e6ddb7d089493b2deba4ce844d50b54e2b023d4>66cb6767c5ae25fa1177b12774cd506b8e9699ad_1,comparison,no,Neutral/supportive comparison; matches default label
f5d33a1046e699e32cbbb1dbd9f3e4f808f2ad7b>503e794da38f6240270c5eab8eef16ed79534a34_2,comparison,no,Neutral/supportive comparison; matches default label
d9f3207db0c79a3b154f3875c9760cc6b056904b>2cc6ff899bf17666ad35893524a4d61624555ed7_7,comparison,no,Neutral/supportive comparison; matches default label
760ecc0eac22d9df09e790f9ad3e7e2c8ee56bf6>52b2c63fc59fdedd15aa28674a11a31e76af85b2_0,comparison,no,Neutral/supportive comparison; matches default label
929a7548464ce1d9d785abbe35da34842c0133e6>21096eb950bdff77308ad3924d69b681589bdc91_0,comparison,no,Neutral/supportive comparison; matches default label
ebe2cb37356ee2f7adb967a6b97b5e66e7a0327f>c7fa7d839b7f977b18f7536d3e59e9b9a25940bf_0,comparison,no,Neutral/supportive comparison; matches default label
